Value,Count,LC24_EVT_250,pad_5070,Feature_S_US1,EVT_NAME,EVT_PHYS,GAP_Sts,SECTION_CO,SECTION_NA
5350,31637.000000000000000,7927,1,118,Eastern Cool Temperate Developed Mixed Forest,Developed,4,326C,Gulf of Maine Highlands
5351,67149.000000000000000,9118,1,118,Laurentian-Acadian Freshwater Marsh,Riparian,4,326C,Gulf of Maine Highlands
5352,24729.000000000000000,7925,1,118,Eastern Cool Temperate Developed Deciduous Forest,Developed,4,326C,Gulf of Maine Highlands
5353,1305386.000000000000000,7292,1,118,Open Water,Open Water,4,326C,Gulf of Maine Highlands
5354,454937.000000000000000,7240,1,118,Laurentian-Acadian Hardwood Forest,Hardwood,4,326C,Gulf of Maine Highlands
5355,415725.000000000000000,7554,1,118,Acadian Low-Elevation Hardwood Forest,Hardwood,4,326C,Gulf of Maine Highlands
5356,90063.000000000000000,7297,1,118,Developed-Medium Intensity,Developed-Medium Intensity,4,326C,Gulf of Maine Highlands
5357,20821.000000000000000,7926,1,118,Eastern Cool Temperate Developed Evergreen Forest,Developed,4,326C,Gulf of Maine Highlands
5358,9865.000000000000000,9617,1,118,Laurentian-Acadian Floodplain Shrubland,Riparian,4,326C,Gulf of Maine Highlands
5359,20938.000000000000000,9620,1,118,Laurentian-Acadian Shrub Swamp,Riparian,4,326C,Gulf of Maine Highlands
5360,30964.000000000000000,7907,1,118,Eastern Cool Temperate Urban Mixed Forest,Developed,4,326C,Gulf of Maine Highlands
5361,44781.000000000000000,7298,1,118,Developed-High Intensity,Developed-High Intensity,4,326C,Gulf of Maine Highlands
5362,2034.000000000000000,7909,1,118,Eastern Cool Temperate Urban Shrubland,Developed,4,326C,Gulf of Maine Highlands
5363,40358.000000000000000,9057,1,118,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,4,326C,Gulf of Maine Highlands
5364,4261.000000000000000,7928,1,118,Eastern Cool Temperate Developed Shrubland,Developed,4,326C,Gulf of Maine Highlands
5365,90712.000000000000000,9315,1,118,Northern & Central Native Ruderal Forest,Conifer-Hardwood,4,326C,Gulf of Maine Highlands
5366,154841.000000000000000,9055,1,118,Boreal-Laurentian Bog,Riparian,4,326C,Gulf of Maine Highlands
5367,9422.000000000000000,7975,1,118,Eastern Cool Temperate Close Grown Crop,Agricultural,4,326C,Gulf of Maine Highlands
5368,25638.000000000000000,9056,1,118,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,4,326C,Gulf of Maine Highlands
5369,2527.000000000000000,7973,1,118,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,4,326C,Gulf of Maine Highlands
5370,81441.000000000000000,9312,1,118,Northeastern North American Temperate Forest Plantation,Conifer,4,326C,Gulf of Maine Highlands
5371,7500.000000000000000,7295,1,118,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4,326C,Gulf of Maine Highlands
5372,98796.000000000000000,7974,1,118,Eastern Cool Temperate Row Crop,Agricultural,4,326C,Gulf of Maine Highlands
5373,108309.000000000000000,7238,1,118,Laurentian-Acadian Northern Oak Forest,Hardwood,4,326C,Gulf of Maine Highlands
5374,1.000000000000000,9176,2,117,North-Central Appalachian Seepage Fen,Riparian,2,325C,St. John Lowlands
5375,2.000000000000000,7925,4,117,Eastern Cool Temperate Developed Deciduous Forest,Developed,1,325C,St. John Lowlands
5376,2.000000000000000,9312,4,117,Northeastern North American Temperate Forest Plantation,Conifer,1,325C,St. John Lowlands
5377,58859.000000000000000,7362,3,118,Laurentian-Acadian Northern Pine Forest,Conifer,3,326C,Gulf of Maine Highlands
5378,389436.000000000000000,7373,3,118,Acadian Low-Elevation Spruce-Fir Forest,Conifer,3,326C,Gulf of Maine Highlands
5379,20906.000000000000000,9039,3,118,Acadian-Appalachian Conifer Seepage Forest,Riparian,3,326C,Gulf of Maine Highlands
5380,144762.000000000000000,9185,3,118,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,Riparian,3,326C,Gulf of Maine Highlands
5381,126572.000000000000000,7481,3,118,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,3,326C,Gulf of Maine Highlands
5382,209573.000000000000000,7366,3,118,Laurentian-Acadian Pine-Hemlock Forest,Conifer,3,326C,Gulf of Maine Highlands
5383,32513.000000000000000,9817,3,118,Northern & Central Ruderal Meadow,Exotic Herbaceous,3,326C,Gulf of Maine Highlands
5384,6171.000000000000000,9118,3,118,Laurentian-Acadian Freshwater Marsh,Riparian,3,326C,Gulf of Maine Highlands
5385,34270.000000000000000,9120,3,118,Laurentian-Acadian Wet Meadow,Riparian,3,326C,Gulf of Maine Highlands
5386,36384.000000000000000,9055,3,118,Boreal-Laurentian Bog,Riparian,3,326C,Gulf of Maine Highlands
5387,11760.000000000000000,7465,3,118,Acadian Sub-Boreal Spruce Flat,Conifer,3,326C,Gulf of Maine Highlands
5388,4699.000000000000000,9317,3,118,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,3,326C,Gulf of Maine Highlands
5389,6849.000000000000000,9056,3,118,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,3,326C,Gulf of Maine Highlands
5390,6622.000000000000000,9117,3,118,Laurentian-Acadian Floodplain Forest,Riparian,3,326C,Gulf of Maine Highlands
5391,390880.000000000000000,7555,3,118,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Conifer-Hardwood,3,326C,Gulf of Maine Highlands
5392,247011.000000000000000,7241,3,118,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,3,326C,Gulf of Maine Highlands
5393,13377.000000000000000,7906,3,118,Eastern Cool Temperate Urban Evergreen Forest,Developed,3,326C,Gulf of Maine Highlands
5394,3872.000000000000000,7905,3,118,Eastern Cool Temperate Urban Deciduous Forest,Developed,3,326C,Gulf of Maine Highlands
5395,311925.000000000000000,7302,3,118,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,3,326C,Gulf of Maine Highlands
5396,32873.000000000000000,7239,3,118,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,3,326C,Gulf of Maine Highlands
5397,45905.000000000000000,7554,3,118,Acadian Low-Elevation Hardwood Forest,Hardwood,3,326C,Gulf of Maine Highlands
5398,32673.000000000000000,7299,3,118,Developed-Roads,Developed-Roads,3,326C,Gulf of Maine Highlands
5399,437.000000000000000,7907,3,118,Eastern Cool Temperate Urban Mixed Forest,Developed,3,326C,Gulf of Maine Highlands
5400,42193.000000000000000,7240,3,118,Laurentian-Acadian Hardwood Forest,Hardwood,3,326C,Gulf of Maine Highlands
5401,52.000000000000000,7298,3,118,Developed-High Intensity,Developed-High Intensity,3,326C,Gulf of Maine Highlands
5402,1961.000000000000000,7296,3,118,Developed-Low Intensity,Developed-Low Intensity,3,326C,Gulf of Maine Highlands
5403,25402.000000000000000,7292,3,118,Open Water,Open Water,3,326C,Gulf of Maine Highlands
5404,5785.000000000000000,7977,3,118,Eastern Cool Temperate Pasture and Hayland,Agricultural,3,326C,Gulf of Maine Highlands
5405,235.000000000000000,9186,3,118,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,3,326C,Gulf of Maine Highlands
5406,9410.000000000000000,9114,3,118,Laurentian-Acadian Alkaline Fen,Riparian,3,326C,Gulf of Maine Highlands
5407,2299.000000000000000,9620,3,118,Laurentian-Acadian Shrub Swamp,Riparian,3,326C,Gulf of Maine Highlands
5408,8096.000000000000000,7238,3,118,Laurentian-Acadian Northern Oak Forest,Hardwood,3,326C,Gulf of Maine Highlands
5409,508.000000000000000,9186,1,118,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,4,326C,Gulf of Maine Highlands
5410,476.000000000000000,7297,3,118,Developed-Medium Intensity,Developed-Medium Intensity,3,326C,Gulf of Maine Highlands
5411,36.000000000000000,9686,1,118,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,Shrubland,4,326C,Gulf of Maine Highlands
5412,3176.000000000000000,9312,3,118,Northeastern North American Temperate Forest Plantation,Conifer,3,326C,Gulf of Maine Highlands
5413,8811.000000000000000,9057,3,118,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,3,326C,Gulf of Maine Highlands
5414,490.000000000000000,9617,3,118,Laurentian-Acadian Floodplain Shrubland,Riparian,3,326C,Gulf of Maine Highlands
5415,34.000000000000000,9686,3,118,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,Shrubland,3,326C,Gulf of Maine Highlands
5416,7089.000000000000000,9314,1,118,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,4,326C,Gulf of Maine Highlands
5417,90.000000000000000,7974,3,118,Eastern Cool Temperate Row Crop,Agricultural,3,326C,Gulf of Maine Highlands
5418,6850.000000000000000,7970,1,118,Eastern Cool Temperate Orchard,Agricultural,4,326C,Gulf of Maine Highlands
5419,84.000000000000000,7927,3,118,Eastern Cool Temperate Developed Mixed Forest,Developed,3,326C,Gulf of Maine Highlands
5420,320.000000000000000,9176,1,118,North-Central Appalachian Seepage Fen,Riparian,4,326C,Gulf of Maine Highlands
5421,11.000000000000000,7976,3,117,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,3,325C,St. John Lowlands
5422,26087.000000000000000,7366,2,118,Laurentian-Acadian Pine-Hemlock Forest,Conifer,2,326C,Gulf of Maine Highlands
5423,70145.000000000000000,7555,2,118,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Conifer-Hardwood,2,326C,Gulf of Maine Highlands
5424,6476.000000000000000,7362,2,118,Laurentian-Acadian Northern Pine Forest,Conifer,2,326C,Gulf of Maine Highlands
5425,63647.000000000000000,7373,2,118,Acadian Low-Elevation Spruce-Fir Forest,Conifer,2,326C,Gulf of Maine Highlands
5426,24854.000000000000000,7481,2,118,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,2,326C,Gulf of Maine Highlands
5427,34002.000000000000000,7241,2,118,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,2,326C,Gulf of Maine Highlands
5428,1935.000000000000000,9817,2,118,Northern & Central Ruderal Meadow,Exotic Herbaceous,2,326C,Gulf of Maine Highlands
5429,3772.000000000000000,7299,2,118,Developed-Roads,Developed-Roads,2,326C,Gulf of Maine Highlands
5430,5490.000000000000000,7292,2,118,Open Water,Open Water,2,326C,Gulf of Maine Highlands
5431,2330.000000000000000,9118,2,118,Laurentian-Acadian Freshwater Marsh,Riparian,2,326C,Gulf of Maine Highlands
5432,3245.000000000000000,7465,2,118,Acadian Sub-Boreal Spruce Flat,Conifer,2,326C,Gulf of Maine Highlands
5433,52904.000000000000000,9185,2,118,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,Riparian,2,326C,Gulf of Maine Highlands
5434,91.000000000000000,7976,1,117,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,4,325C,St. John Lowlands
5435,5035.000000000000000,7976,1,118,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,4,326C,Gulf of Maine Highlands
5436,9.000000000000000,7972,3,117,Eastern Cool Temperate Bush fruit and berries,Agricultural,3,325C,St. John Lowlands
5437,58.000000000000000,7976,3,118,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,3,326C,Gulf of Maine Highlands
5438,55.000000000000000,7972,3,118,Eastern Cool Temperate Bush fruit and berries,Agricultural,3,326C,Gulf of Maine Highlands
5439,533.000000000000000,7908,3,118,Eastern Cool Temperate Urban Herbaceous,Developed,3,326C,Gulf of Maine Highlands
5440,22.000000000000000,7909,3,118,Eastern Cool Temperate Urban Shrubland,Developed,3,326C,Gulf of Maine Highlands
5441,72.000000000000000,7929,3,118,Eastern Cool Temperate Developed Herbaceous,Developed,3,326C,Gulf of Maine Highlands
5442,83335.000000000000000,7972,1,118,Eastern Cool Temperate Bush fruit and berries,Agricultural,4,326C,Gulf of Maine Highlands
5443,4236.000000000000000,9318,1,118,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,4,326C,Gulf of Maine Highlands
5444,19.000000000000000,7295,3,118,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,3,326C,Gulf of Maine Highlands
5445,587.000000000000000,9315,3,118,Northern & Central Native Ruderal Forest,Conifer-Hardwood,3,326C,Gulf of Maine Highlands
5446,12.000000000000000,7973,3,118,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,3,326C,Gulf of Maine Highlands
5447,54.000000000000000,7926,3,118,Eastern Cool Temperate Developed Evergreen Forest,Developed,3,326C,Gulf of Maine Highlands
5448,52.000000000000000,7925,3,118,Eastern Cool Temperate Developed Deciduous Forest,Developed,3,326C,Gulf of Maine Highlands
5449,22.000000000000000,9176,3,118,North-Central Appalachian Seepage Fen,Riparian,3,326C,Gulf of Maine Highlands
5450,885.000000000000000,9037,1,118,Acadian Estuary Marsh,Riparian,4,326C,Gulf of Maine Highlands
5451,37825.000000000000000,7302,2,118,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2,326C,Gulf of Maine Highlands
5452,3684.000000000000000,7239,2,118,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,2,326C,Gulf of Maine Highlands
5453,4413.000000000000000,9057,2,118,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,2,326C,Gulf of Maine Highlands
5454,27195.000000000000000,9055,2,118,Boreal-Laurentian Bog,Riparian,2,326C,Gulf of Maine Highlands
5455,2116.000000000000000,9039,2,118,Acadian-Appalachian Conifer Seepage Forest,Riparian,2,326C,Gulf of Maine Highlands
5456,17834.000000000000000,9120,2,118,Laurentian-Acadian Wet Meadow,Riparian,2,326C,Gulf of Maine Highlands
5457,2632.000000000000000,9114,2,118,Laurentian-Acadian Alkaline Fen,Riparian,2,326C,Gulf of Maine Highlands
5458,2441.000000000000000,7238,2,118,Laurentian-Acadian Northern Oak Forest,Hardwood,2,326C,Gulf of Maine Highlands
5459,5776.000000000000000,9117,2,118,Laurentian-Acadian Floodplain Forest,Riparian,2,326C,Gulf of Maine Highlands
5460,15003.000000000000000,7554,2,118,Acadian Low-Elevation Hardwood Forest,Hardwood,2,326C,Gulf of Maine Highlands
5461,7.000000000000000,9037,3,118,Acadian Estuary Marsh,Riparian,3,326C,Gulf of Maine Highlands
5462,865.000000000000000,9317,2,118,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,2,326C,Gulf of Maine Highlands
5463,1922.000000000000000,7906,2,118,Eastern Cool Temperate Urban Evergreen Forest,Developed,2,326C,Gulf of Maine Highlands
5464,335.000000000000000,7296,2,118,Developed-Low Intensity,Developed-Low Intensity,2,326C,Gulf of Maine Highlands
5465,8327.000000000000000,7240,2,118,Laurentian-Acadian Hardwood Forest,Hardwood,2,326C,Gulf of Maine Highlands
5466,3207.000000000000000,9056,2,118,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,2,326C,Gulf of Maine Highlands
5467,1216.000000000000000,9620,2,118,Laurentian-Acadian Shrub Swamp,Riparian,2,326C,Gulf of Maine Highlands
5468,15817.000000000000000,9174,1,118,North-Central Appalachian Acidic Swamp,Riparian,4,326C,Gulf of Maine Highlands
5469,123.000000000000000,7907,2,118,Eastern Cool Temperate Urban Mixed Forest,Developed,2,326C,Gulf of Maine Highlands
5470,257.000000000000000,9617,2,118,Laurentian-Acadian Floodplain Shrubland,Riparian,2,326C,Gulf of Maine Highlands
5471,66.000000000000000,7297,2,118,Developed-Medium Intensity,Developed-Medium Intensity,2,326C,Gulf of Maine Highlands
5472,1327.000000000000000,9312,2,118,Northeastern North American Temperate Forest Plantation,Conifer,2,326C,Gulf of Maine Highlands
5473,24.000000000000000,7298,2,118,Developed-High Intensity,Developed-High Intensity,2,326C,Gulf of Maine Highlands
5474,21.000000000000000,9186,2,118,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,2,326C,Gulf of Maine Highlands
5475,613.000000000000000,9315,2,118,Northern & Central Native Ruderal Forest,Conifer-Hardwood,2,326C,Gulf of Maine Highlands
5476,5.000000000000000,9318,2,118,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,2,326C,Gulf of Maine Highlands
5477,1638.000000000000000,7977,2,118,Eastern Cool Temperate Pasture and Hayland,Agricultural,2,326C,Gulf of Maine Highlands
5478,392.000000000000000,7905,2,118,Eastern Cool Temperate Urban Deciduous Forest,Developed,2,326C,Gulf of Maine Highlands
5479,26.000000000000000,7926,2,118,Eastern Cool Temperate Developed Evergreen Forest,Developed,2,326C,Gulf of Maine Highlands
5480,11.000000000000000,7929,2,118,Eastern Cool Temperate Developed Herbaceous,Developed,2,326C,Gulf of Maine Highlands
5481,56525.000000000000000,7373,4,118,Acadian Low-Elevation Spruce-Fir Forest,Conifer,1,326C,Gulf of Maine Highlands
5482,65.000000000000000,7927,2,118,Eastern Cool Temperate Developed Mixed Forest,Developed,2,326C,Gulf of Maine Highlands
5483,36949.000000000000000,7555,4,118,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Conifer-Hardwood,1,326C,Gulf of Maine Highlands
5484,15731.000000000000000,7241,4,118,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,1,326C,Gulf of Maine Highlands
5485,15813.000000000000000,7366,4,118,Laurentian-Acadian Pine-Hemlock Forest,Conifer,1,326C,Gulf of Maine Highlands
5486,23989.000000000000000,7481,4,118,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,1,326C,Gulf of Maine Highlands
5487,35119.000000000000000,9185,4,118,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,Riparian,1,326C,Gulf of Maine Highlands
5488,3174.000000000000000,7465,4,118,Acadian Sub-Boreal Spruce Flat,Conifer,1,326C,Gulf of Maine Highlands
5489,6224.000000000000000,7362,4,118,Laurentian-Acadian Northern Pine Forest,Conifer,1,326C,Gulf of Maine Highlands
5490,14314.000000000000000,7302,4,118,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,1,326C,Gulf of Maine Highlands
5491,6160.000000000000000,9055,4,118,Boreal-Laurentian Bog,Riparian,1,326C,Gulf of Maine Highlands
5492,456.000000000000000,9317,4,118,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,1,326C,Gulf of Maine Highlands
5493,583.000000000000000,9620,4,118,Laurentian-Acadian Shrub Swamp,Riparian,1,326C,Gulf of Maine Highlands
5494,1559.000000000000000,9117,4,118,Laurentian-Acadian Floodplain Forest,Riparian,1,326C,Gulf of Maine Highlands
5495,5544.000000000000000,9120,4,118,Laurentian-Acadian Wet Meadow,Riparian,1,326C,Gulf of Maine Highlands
5496,761.000000000000000,7906,4,118,Eastern Cool Temperate Urban Evergreen Forest,Developed,1,326C,Gulf of Maine Highlands
5497,335723.000000000000000,9185,1,119,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,Riparian,4,326D,Gulf of Maine-Fundy Coast
5498,198184.000000000000000,7554,1,119,Acadian Low-Elevation Hardwood Forest,Hardwood,4,326D,Gulf of Maine-Fundy Coast
5499,1199352.000000000000000,7373,1,119,Acadian Low-Elevation Spruce-Fir Forest,Conifer,4,326D,Gulf of Maine-Fundy Coast
5500,1096516.000000000000000,7555,1,119,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Conifer-Hardwood,4,326D,Gulf of Maine-Fundy Coast
5501,640.000000000000000,9118,4,118,Laurentian-Acadian Freshwater Marsh,Riparian,1,326C,Gulf of Maine Highlands
5502,63.000000000000000,7907,4,118,Eastern Cool Temperate Urban Mixed Forest,Developed,1,326C,Gulf of Maine Highlands
5503,769.000000000000000,7299,4,118,Developed-Roads,Developed-Roads,1,326C,Gulf of Maine Highlands
5504,1620.000000000000000,9039,4,118,Acadian-Appalachian Conifer Seepage Forest,Riparian,1,326C,Gulf of Maine Highlands
5505,3846.000000000000000,7292,4,118,Open Water,Open Water,1,326C,Gulf of Maine Highlands
5506,474.000000000000000,9817,4,118,Northern & Central Ruderal Meadow,Exotic Herbaceous,1,326C,Gulf of Maine Highlands
5507,1320.000000000000000,9056,4,118,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,1,326C,Gulf of Maine Highlands
5508,5107.000000000000000,7239,4,118,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,1,326C,Gulf of Maine Highlands
5509,384771.000000000000000,7299,1,119,Developed-Roads,Developed-Roads,4,326D,Gulf of Maine-Fundy Coast
5510,24815.000000000000000,7465,1,119,Acadian Sub-Boreal Spruce Flat,Conifer,4,326D,Gulf of Maine-Fundy Coast
5511,67028.000000000000000,9317,1,119,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,4,326D,Gulf of Maine-Fundy Coast
5512,19903.000000000000000,7926,1,119,Eastern Cool Temperate Developed Evergreen Forest,Developed,4,326D,Gulf of Maine-Fundy Coast
5513,54441.000000000000000,7297,1,119,Developed-Medium Intensity,Developed-Medium Intensity,4,326D,Gulf of Maine-Fundy Coast
5514,25063.000000000000000,7927,1,119,Eastern Cool Temperate Developed Mixed Forest,Developed,4,326D,Gulf of Maine-Fundy Coast
5515,3460.000000000000000,7928,1,119,Eastern Cool Temperate Developed Shrubland,Developed,4,326D,Gulf of Maine-Fundy Coast
5516,13027.000000000000000,7929,1,119,Eastern Cool Temperate Developed Herbaceous,Developed,4,326D,Gulf of Maine-Fundy Coast
5517,21007.000000000000000,9620,1,119,Laurentian-Acadian Shrub Swamp,Riparian,4,326D,Gulf of Maine-Fundy Coast
5518,12629.000000000000000,9037,1,119,Acadian Estuary Marsh,Riparian,4,326D,Gulf of Maine-Fundy Coast
5519,249390.000000000000000,7481,1,119,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,4,326D,Gulf of Maine-Fundy Coast
5520,196449.000000000000000,9817,1,119,Northern & Central Ruderal Meadow,Exotic Herbaceous,4,326D,Gulf of Maine-Fundy Coast
5521,2535.000000000000000,7554,4,118,Acadian Low-Elevation Hardwood Forest,Hardwood,1,326C,Gulf of Maine Highlands
5522,128449.000000000000000,7296,1,119,Developed-Low Intensity,Developed-Low Intensity,4,326D,Gulf of Maine-Fundy Coast
5523,315417.000000000000000,7977,1,119,Eastern Cool Temperate Pasture and Hayland,Agricultural,4,326D,Gulf of Maine-Fundy Coast
5524,23565.000000000000000,7907,1,119,Eastern Cool Temperate Urban Mixed Forest,Developed,4,326D,Gulf of Maine-Fundy Coast
5525,2976.000000000000000,7976,1,119,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,4,326D,Gulf of Maine-Fundy Coast
5526,93273.000000000000000,9120,1,119,Laurentian-Acadian Wet Meadow,Riparian,4,326D,Gulf of Maine-Fundy Coast
5527,1004.000000000000000,9114,4,118,Laurentian-Acadian Alkaline Fen,Riparian,1,326C,Gulf of Maine Highlands
5528,106757.000000000000000,7906,1,119,Eastern Cool Temperate Urban Evergreen Forest,Developed,4,326D,Gulf of Maine-Fundy Coast
5529,404352.000000000000000,7240,1,119,Laurentian-Acadian Hardwood Forest,Hardwood,4,326D,Gulf of Maine-Fundy Coast
5530,101374.000000000000000,7373,3,119,Acadian Low-Elevation Spruce-Fir Forest,Conifer,3,326D,Gulf of Maine-Fundy Coast
5531,52813.000000000000000,7555,3,119,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Conifer-Hardwood,3,326D,Gulf of Maine-Fundy Coast
5532,842.000000000000000,7238,4,118,Laurentian-Acadian Northern Oak Forest,Hardwood,1,326C,Gulf of Maine Highlands
5533,2115.000000000000000,9057,4,118,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,1,326C,Gulf of Maine Highlands
5534,10841.000000000000000,7977,3,119,Eastern Cool Temperate Pasture and Hayland,Agricultural,3,326D,Gulf of Maine-Fundy Coast
5535,527.000000000000000,7972,3,119,Eastern Cool Temperate Bush fruit and berries,Agricultural,3,326D,Gulf of Maine-Fundy Coast
5536,5253.000000000000000,9817,3,119,Northern & Central Ruderal Meadow,Exotic Herbaceous,3,326D,Gulf of Maine-Fundy Coast
5537,17511.000000000000000,7366,3,119,Laurentian-Acadian Pine-Hemlock Forest,Conifer,3,326D,Gulf of Maine-Fundy Coast
5538,33156.000000000000000,7302,3,119,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,3,326D,Gulf of Maine-Fundy Coast
5539,1899.000000000000000,9317,3,119,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,3,326D,Gulf of Maine-Fundy Coast
5540,14408.000000000000000,7362,3,119,Laurentian-Acadian Northern Pine Forest,Conifer,3,326D,Gulf of Maine-Fundy Coast
5541,11213.000000000000000,7239,3,119,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,3,326D,Gulf of Maine-Fundy Coast
5542,3738.000000000000000,7240,4,118,Laurentian-Acadian Hardwood Forest,Hardwood,1,326C,Gulf of Maine Highlands
5543,1.000000000000000,7964,4,185,Western Cool Temperate Row Crop,Agricultural,1,311A,Oregon and Washington Coast Ranges
5544,17.000000000000000,9272,2,185,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,2,311A,Oregon and Washington Coast Ranges
5545,4.000000000000000,7120,1,185,Willamette Valley Upland Prairie,Grassland,4,311A,Oregon and Washington Coast Ranges
5546,454.000000000000000,7039,4,92,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,1,312B,Willamette Valley
5547,18.000000000000000,7921,4,92,Western Cool Temperate Developed Evergreen Forest,Developed,1,312B,Willamette Valley
5548,1708.000000000000000,7967,4,92,Western Cool Temperate Pasture and Hayland,Agricultural,1,312B,Willamette Valley
5549,7.000000000000000,9826,4,92,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,1,312B,Willamette Valley
5550,661.000000000000000,7156,4,92,North Pacific Lowland Riparian Forest,Riparian,1,312B,Willamette Valley
5551,46.000000000000000,7157,4,92,North Pacific Lowland Riparian Shrubland,Riparian,1,312B,Willamette Valley
5552,630.000000000000000,7037,4,92,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,1,312B,Willamette Valley
5553,30.000000000000000,9170,4,92,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,1,312B,Willamette Valley
5554,128.000000000000000,7008,4,92,North Pacific Oak Woodland,Hardwood,1,312B,Willamette Valley
5555,11.000000000000000,7901,4,92,Western Cool Temperate Urban Evergreen Forest,Developed,1,312B,Willamette Valley
5556,63.000000000000000,7299,4,92,Developed-Roads,Developed-Roads,1,312B,Willamette Valley
5557,3.000000000000000,7922,4,92,Western Cool Temperate Developed Mixed Forest,Developed,1,312B,Willamette Valley
5558,92.000000000000000,7295,3,92,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,3,312B,Willamette Valley
5559,140.000000000000000,7120,1,187,Willamette Valley Upland Prairie,Grassland,4,311C,Western Cascades
5560,321410.000000000000000,7138,3,187,North Pacific Montane Grassland,Grassland,3,311C,Western Cascades
5561,123150.000000000000000,7138,1,187,North Pacific Montane Grassland,Grassland,4,311C,Western Cascades
5562,86839.000000000000000,9160,4,187,North Pacific Active Volcanic Rock and Cinder Land,Sparsely Vegetated,1,311C,Western Cascades
5563,17.000000000000000,7063,4,92,North Pacific Broadleaf Landslide Forest,Hardwood,1,312B,Willamette Valley
5564,71.000000000000000,7296,4,92,Developed-Low Intensity,Developed-Low Intensity,1,312B,Willamette Valley
5565,11.000000000000000,7924,4,92,Western Cool Temperate Developed Herbaceous,Developed,1,312B,Willamette Valley
5566,7.000000000000000,9326,4,92,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,1,312B,Willamette Valley
