transition,model_code,annual_probability, return_interval ,bps_name
Surface Fire,14010_43_44_47_48_53,0.1833628,5,Central Interior Highlands Calcareous Glade and Barrens
Surface Fire,14010_49,0.1827184,5,Central Interior Highlands Calcareous Glade and Barrens
Surface Fire,14071_41_50_51,0.2054626,5,Laurentian Pine-Oak Barrens
Surface Fire,14072_41_50_51,0.0567286,18,Laurentian Pine-Oak Barrens - Jack Pine
Surface Fire,14080_48,0.181881,5,Alabama Ketona Glade and Woodland
Surface Fire,14100_35,0.10237,10,Llano Uplift Acidic Forest-Woodland-Glade
Surface Fire,14120_39_40_41_42_43_50_51,0.011561,86,North-Central Interior Sand and Gravel Tallgrass Prairie
Surface Fire,14120_49,0.0114148,88,North-Central Interior Sand and Gravel Tallgrass Prairie
Surface Fire,14120_52,0.0114124,88,North-Central Interior Sand and Gravel Tallgrass Prairie
Surface Fire,14130_47,0.0160514,62,Bluegrass Savanna and Woodland
Surface Fire,14151_44,0.084515,12,Arkansas Valley Prairie and Woodland - Prairie
Surface Fire,14152_44,0.4005214,2,Arkansas Valley Prairie and Woodland - Woodland
Surface Fire,14160_48,0.053746,19,Western Highland Rim Prairie and Barrens
Surface Fire,14170_48,0.0851224,12,Eastern Highland Rim Prairie and Barrens
Surface Fire,14180_47,0.0470024,21,Pennyroyal Karst Plain Prairie and Barrens
Surface Fire,14220_32_35_36_37,0.0286796,35,Southern Blackland Tallgrass Prairie
Surface Fire,14230_32_35,0.0020558,486,Southeastern Great Plains Tallgrass Prairie
Surface Fire,14230_38,0.0020232,494,Southeastern Great Plains Tallgrass Prairie
Surface Fire,14230_43_44,0.0020218,495,Southeastern Great Plains Tallgrass Prairie
Surface Fire,14250_56,0.0543736,18,Florida Dry Prairie
Surface Fire,14270_47,0.0827584,12,East Gulf Coastal Plain Jackson Plain Prairie and Barrens
Surface Fire,14280_37_44,0.1376028,7,West Gulf Coastal Plain Northern Calcareous Prairie
Surface Fire,14290_37_45,0.0367316,27,West Gulf Coastal Plain Southern Calcareous Prairie
Surface Fire,14300_46,0.0103468,97,Southern Coastal Plain Blackland Prairie and Woodland
Surface Fire,14320_45,0.003302,303,Lower Mississippi Alluvial Plain Grand Prairie
Surface Fire,14440_41_50_51,0.0032354,309,Eastern Boreal Floodplain
Surface Fire,14450_56,0.0281048,36,South Florida Dwarf Cypress Savanna
Surface Fire,14460_56,0.2990068,3,South Florida Pine Flatwoods
Surface Fire,14470_56,0.1010404,10,South Florida Cypress Dome
Surface Fire,14490_58_60,0.3058766,3,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
Surface Fire,14500_55_58,0.305311,3,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods
Surface Fire,14510_37_98,0.401321,2,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
Surface Fire,14530_55_56,0.4036752,2,Central Florida Pine Flatwoods
Surface Fire,14540_55_56_99,0.3067562,3,East Gulf Coastal Plain Near-Coast Pine Flatwoods
Surface Fire,14550_46_99,0.1245628,8,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods
Surface Fire,14570_47_48,0.112611,9,South-Central Interior/Upper Coastal Plain Wet Flatwoods
Surface Fire,14570_49,0.0756796,13,South-Central Interior/Upper Coastal Plain Wet Flatwoods
Surface Fire,14580_37_44_45_98,0.1990048,5,West Gulf Coastal Plain Pine-Hardwood Flatwoods
Surface Fire,14590_58,0.0714518,14,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland
Surface Fire,14600_55_56_99,0.1013346,10,Southern Coastal Plain Nonriverine Cypress Dome
Surface Fire,14670_36,0.0243918,41,Tamaulipan Floodplain
Surface Fire,14680_46_55_58_99,0.0620168,16,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
Surface Fire,14680_60,0.074249,13,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
Surface Fire,14690_31_39_40_43,0.0056576,177,Eastern Great Plains Floodplain Systems
Surface Fire,14690_38_42_49,0.0056562,177,Eastern Great Plains Floodplain Systems
Surface Fire,14710_32_35,0.0327008,31,Central Interior and Appalachian Floodplain Systems
Surface Fire,14710_41_50,0.0150538,66,Central Interior and Appalachian Floodplain Systems
Surface Fire,14710_47_48_53_54_57_59_60_61_63,0.0084714,118,Central Interior and Appalachian Floodplain Systems
Surface Fire,14710_49_52,0.0148636,67,Central Interior and Appalachian Floodplain Systems
Surface Fire,14710_51_62,0.0145488,69,Central Interior and Appalachian Floodplain Systems
Surface Fire,14710_64_65,0.0082466,121,Central Interior and Appalachian Floodplain Systems
Surface Fire,14712_44,0.0100336,100,Central Interior and Appalachian Floodplain Systems - Large Floodplains
Surface Fire,14720_32_35,0.0330112,30,Central Interior and Appalachian Riparian Systems
Surface Fire,14720_44_46_47_48,0.004936,203,Central Interior and Appalachian Riparian Systems
Surface Fire,14720_49,0.0049966,200,Central Interior and Appalachian Riparian Systems
Surface Fire,14720_53_54_57_59_60,0.0050664,197,Central Interior and Appalachian Riparian Systems
Surface Fire,14720_61_62_63,0.00502,199,Central Interior and Appalachian Riparian Systems
Surface Fire,14720_64_65_66,0.004963,201,Central Interior and Appalachian Riparian Systems
Surface Fire,14730_32_37_44,0.02024,49,Gulf and Atlantic Coastal Plain Floodplain Systems
Surface Fire,14730_36,0.0199864,50,Gulf and Atlantic Coastal Plain Floodplain Systems
Surface Fire,14730_45_46_47_98_99,0.0100152,100,Gulf and Atlantic Coastal Plain Floodplain Systems
Surface Fire,14730_55_58_60,0.0100328,100,Gulf and Atlantic Coastal Plain Floodplain Systems
Surface Fire,14740_32_37_44_45_98,0.0200684,50,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Surface Fire,14740_36,0.1003852,10,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Surface Fire,14740_46_47_48_55_56_58_60_99,0.0077594,129,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Surface Fire,14750_41_50_51_63_64_65_66,0.0147688,68,Laurentian-Acadian Floodplain Systems
Surface Fire,14760_36,0.0318802,31,Tamaulipan Riparian Systems
Surface Fire,14770_40_41_50_51,0.0082316,121,Boreal Acidic Peatland Systems
Surface Fire,14770_63_64_65_66,0.0057966,173,Boreal Acidic Peatland Systems
Surface Fire,14790_60_61_63_64_65_66,0.0007632,1310,Central Interior and Appalachian Swamp Systems
Surface Fire,14800_36_37_44,0.0014644,683,Gulf and Atlantic Coastal Plain Swamp Systems
Surface Fire,14800_45_98,0.001481,675,Gulf and Atlantic Coastal Plain Swamp Systems
Surface Fire,14800_46_56_58_60_64_65_66,0.0045436,220,Gulf and Atlantic Coastal Plain Swamp Systems
Surface Fire,14800_47,0.0044552,224,Gulf and Atlantic Coastal Plain Swamp Systems
Surface Fire,14800_55_99,0.0045442,220,Gulf and Atlantic Coastal Plain Swamp Systems
Surface Fire,14830_56,0.0133852,75,South Florida Everglades Sawgrass Marsh
Surface Fire,14850_55_99,0.340292,3,East Gulf Coastal Plain Savanna and Wet Prairie
Surface Fire,15042_26_34,0.0133198,75,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Alkali Sacaton
Surface Fire,15060_37_44,0.026497,38,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods
Surface Fire,15070_44,0.4785216,2,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
Surface Fire,15090_45_47,0.011167,90,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest
Surface Fire,15100_45,0.1787702,6,Northern Crowley`s Ridge Sand Forest
Surface Fire,15130_45,0.0104606,96,Lower Mississippi River Flatwoods
Surface Fire,15170_42_49_50,0.0098634,101,Paleozoic Plateau Bluff and Talus
Surface Fire,15190_32_35_36_37,0.1888662,5,East-Central Texas Plains Post Oak Savanna and Woodland
Surface Fire,15230_32_35,0.0330412,30,Edwards Plateau Dry-Mesic Slope Forest and Woodland
Surface Fire,15240_35,0.0094052,106,Edwards Plateau Mesic Canyon
Surface Fire,15250_35,0.0330392,30,Edwards Plateau Riparian
Surface Fire,18170_79,0.0697582,14,Hawaii Lowland Dry Shrubland
Surface Fire,18190_79,0.0475436,21,Hawaii Lowland Dry Grassland
Surface Fire,18200_79,0.0166408,60,Hawaii Lowland Mesic Grassland
Surface Fire,18220_79,0.009745,103,Hawaii Montane-Subalpine Dry Grassland
Surface Fire,18230_79,0.0018968,527,Hawaii Montane-Subalpine Mesic Grassland
Wind or Weather or Stress,10110_15,0.0029144,343,Rocky Mountain Aspen Forest and Woodland
Wind or Weather or Stress,10110_27,0.0029418,340,Rocky Mountain Aspen Forest and Woodland
Wind or Weather or Stress,10110_28,0.002879,347,Rocky Mountain Aspen Forest and Woodland
Wind or Weather or Stress,10120_16_27,0.0025452,393,Rocky Mountain Bigtooth Maple Ravine Woodland
Wind or Weather or Stress,10120_17_18_21,0.0023144,432,Rocky Mountain Bigtooth Maple Ravine Woodland
Wind or Weather or Stress,10130_31_38_39_40,0.006737,148,Western Great Plains Dry Bur Oak Forest and Woodland
Wind or Weather or Stress,10160_15_28,0.0015388,650,Colorado Plateau Pinyon-Juniper Woodland
Wind or Weather or Stress,10160_16_23_24_25,0.0020252,494,Colorado Plateau Pinyon-Juniper Woodland
Wind or Weather or Stress,10160_17,0.0019992,500,Colorado Plateau Pinyon-Juniper Woodland
Wind or Weather or Stress,10180_1_7,0.0007268,1376,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
Wind or Weather or Stress,10200_13,0.0013836,723,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
Wind or Weather or Stress,10200_6_9_12_17,0.001792,558,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
Wind or Weather or Stress,10230_14_15_24_25,0.0048148,208,Madrean Encinal
Wind or Weather or Stress,10240_14_15_24,0.0047202,212,Madrean Lower Montane Pine-Oak Forest and Woodland
Wind or Weather or Stress,10250_14_15_24_25_26,0.005702,175,Madrean Pinyon-Juniper Woodland
Wind or Weather or Stress,10260_15,0.0010992,910,Madrean Upper Montane Conifer-Oak Forest and Woodland
Wind or Weather or Stress,10290_2_3_4_5_6_7_12,0.0009622,1039,Mediterranean California Mixed Oak Woodland
Wind or Weather or Stress,10320_2_3_7,0.0057674,173,Mediterranean California Red Fir Forest
Wind or Weather or Stress,10330_3_6_7,0.0003412,2931,Mediterranean California Subalpine Woodland
Wind or Weather or Stress,10360_1_2,0.0050996,196,North Pacific Hypermaritime Sitka Spruce Forest
Wind or Weather or Stress,10420_1_7,0.000819,1221,North Pacific Mesic Western Hemlock-Silver Fir Forest
Wind or Weather or Stress,10432_2_3,0.0022042,454,Mediterranean California Mixed Evergreen Forest - Coastal
Wind or Weather or Stress,10450_1_7_8_9,0.000085,11765,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Wind or Weather or Stress,10450_21,0.0007626,1311,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Wind or Weather or Stress,10451_10_19,0.0006836,1463,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
